# qinput_file_name random_pivot_obj cost_of_reduction num_nodes_before_reduction num_nodes_after_reduction
../instances/exact/exact001.gr 5 0 10 6
../instances/exact/exact003.gr 60 0 20 20
../instances/exact/exact005.gr 54 0 20 20
../instances/exact/exact007.gr 127 0 30 30
../instances/exact/exact009.gr 150 0 30 30
../instances/exact/exact011.gr 123 0 30 30
../instances/exact/exact013.gr 226 0 40 40
../instances/exact/exact015.gr 257 0 40 40
../instances/exact/exact017.gr 309 0 50 50
../instances/exact/exact019.gr 389 0 50 50
../instances/exact/exact021.gr 429 0 50 50
../instances/exact/exact023.gr 383 0 60 60
../instances/exact/exact025.gr 714 0 60 60
../instances/exact/exact027.gr 681 0 70 70
../instances/exact/exact029.gr 676 0 70 70
../instances/exact/exact031.gr 352 0 70 70
../instances/exact/exact033.gr 903 0 80 80
../instances/exact/exact035.gr 1241 0 80 80
../instances/exact/exact037.gr 953 0 90 90
../instances/exact/exact039.gr 903 0 90 90
../instances/exact/exact041.gr 506 0 90 90
../instances/exact/exact043.gr 1357 0 100 100
../instances/exact/exact045.gr 1285 0 100 100
../instances/exact/exact047.gr 1023 0 100 100
../instances/exact/exact049.gr 1505 0 113 113
../instances/exact/exact051.gr 2122 0 120 120
../instances/exact/exact053.gr 2486 0 120 120
../instances/exact/exact055.gr 1981 0 120 120
../instances/exact/exact057.gr 210 0 121 72
../instances/exact/exact059.gr 2034 0 121 121
../instances/exact/exact061.gr 127 0 129 83
../instances/exact/exact063.gr 840 0 129 115
../instances/exact/exact065.gr 128 0 129 129
../instances/exact/exact067.gr 996 0 139 123
../instances/exact/exact069.gr 3040 0 140 140
../instances/exact/exact071.gr 3627 0 140 140
../instances/exact/exact073.gr 2573 0 140 140
../instances/exact/exact075.gr 176 0 144 84
../instances/exact/exact077.gr 142 0 144 131
../instances/exact/exact079.gr 77 0 159 60
../instances/exact/exact081.gr 2693 0 159 159
../instances/exact/exact083.gr 4007 0 160 160
../instances/exact/exact085.gr 1360 0 160 160
../instances/exact/exact087.gr 4587 0 160 160
../instances/exact/exact089.gr 973 0 171 171
../instances/exact/exact091.gr 4729 0 180 180
../instances/exact/exact093.gr 6187 0 180 180
../instances/exact/exact095.gr 679 0 180 180
../instances/exact/exact097.gr 180 0 184 146
../instances/exact/exact099.gr 1031 0 184 184
../instances/exact/exact101.gr 6910 0 200 200
../instances/exact/exact103.gr 6325 0 200 200
../instances/exact/exact105.gr 6359 0 200 200
../instances/exact/exact107.gr 410 0 204 152
../instances/exact/exact109.gr 3355 0 204 181
../instances/exact/exact111.gr 3357 0 204 199
../instances/exact/exact113.gr 1098 0 204 204
../instances/exact/exact115.gr 409 0 211 158
../instances/exact/exact117.gr 3435 0 211 206
../instances/exact/exact119.gr 764 0 213 105
../instances/exact/exact121.gr 1501 0 213 213
../instances/exact/exact123.gr 594 0 215 163
../instances/exact/exact125.gr 1818 0 215 215
../instances/exact/exact127.gr 140 0 216 163
../instances/exact/exact129.gr 2840 0 216 216
../instances/exact/exact131.gr 493 0 221 193
../instances/exact/exact133.gr 7891 0 221 221
../instances/exact/exact135.gr 1303 0 232 148
../instances/exact/exact137.gr TLE
../instances/exact/exact139.gr 12424 0 232 232
../instances/exact/exact141.gr 902 0 250 235
../instances/exact/exact143.gr 2162 0 250 247
../instances/exact/exact145.gr 2860 0 250 250
../instances/exact/exact147.gr 10657 0 250 250
../instances/exact/exact149.gr 7136 0 250 250
../instances/exact/exact151.gr 1258 0 250 250
../instances/exact/exact153.gr 6 204 250 0
../instances/exact/exact155.gr 124 0 263 134
../instances/exact/exact157.gr 1966 0 263 227
../instances/exact/exact159.gr 3046 0 263 263
../instances/exact/exact161.gr 506 0 279 211
../instances/exact/exact163.gr 2734 0 279 261
../instances/exact/exact165.gr 6677 0 279 279
../instances/exact/exact167.gr 12484 0 300 300
../instances/exact/exact169.gr 13008 0 300 300
../instances/exact/exact171.gr 3495 0 300 300
../instances/exact/exact173.gr 682 0 313 158
../instances/exact/exact175.gr 896 0 313 196
../instances/exact/exact177.gr 8889 0 313 313
../instances/exact/exact179.gr 873 0 330 315
../instances/exact/exact181.gr 1955 0 330 330
../instances/exact/exact183.gr 4070 0 330 330
../instances/exact/exact185.gr 327 0 347 179
../instances/exact/exact187.gr 7502 0 347 303
../instances/exact/exact189.gr 10350 0 347 347
../instances/exact/exact191.gr 24591 0 400 400
../instances/exact/exact193.gr 33618 0 400 400
../instances/exact/exact195.gr 3581 0 620 560
../instances/exact/exact197.gr 21675 0 620 620
../instances/exact/exact199.gr 47353 0 620 620
